,LSA_KL,LSA_SBX
338,7127.627913330394,7026.658811116078
339,606.1455696290728,431.7335177931743
340,0.00024653849713924815,0.0002465388334711216
341,6972.410280874869,6806.263247730676
342,851.8589316236314,535.1585846820506
343,0.0,0.00024653846476574426
344,7007.494946313261,7121.186859681494
345,1246.835708000934,703.5228072521328
346,0.0,0.0005753610847284948
347,7495.25351306672,7010.894979264855
348,793.2677115168406,448.82976849767266
349,0.0009858142394417143,0.0
350,0.0,0.0
351,82.98745295861326,162.1694104727392
352,9.552191003597196,9.53788602666114
353,0.0,0.0
354,88.88775438121657,138.90213132945004
355,5.445207182945247,7.1559314810545045
356,0.0,0.0
357,75.36686595980161,185.5641450315927
358,9.696759893844273,8.220713897935674
359,0.0,0.0
360,85.41353022176902,161.14056070957798
361,8.80798059320576,9.16981191675273
362,0.0,0.0
363,77.86049355521794,147.2213829175668
364,11.350873306000944,10.199744125029122
365,0.0,0.0
366,76.1262158226896,195.94317453256502
367,7.455144918394103,9.289067261287167
368,0.0,0.0
369,78.71715252676927,181.25299534504123
370,8.938165190215406,6.805530538575628
371,0.0,0.0
372,79.49375889952816,171.5976462581001
373,9.281480170154955,8.862012276960881
374,0.0,0.0
375,82.30212266065944,154.36142606758148
376,6.207477156617917,7.392088514915744
377,0.0,0.0
378,87.548661601568,162.06458163226264
379,6.7622256630692865,7.565368332084593
380,0.0,0.0
381,84.91213004168638,178.7809877114683
382,8.713976515021303,8.091370361946861
383,0.0,0.0
384,82.65438291768486,139.77598093533877
385,7.9491124770528465,7.027300650527682
386,0.0,0.0
387,78.068991880554,121.4033817583911
388,7.96432172573958,6.614805220433975
389,0.0,0.0
390,79.03165933176585,164.28551326209924
391,9.843333618410524,9.369776060636294
392,0.0,0.0
393,83.01083898078886,149.1750245474084
394,6.2725319926442955,7.607878795985903
395,0.0,0.0
396,81.654406781595,173.65751125784547
397,9.59042525383877,8.709703314138027
398,0.0,0.0
399,83.78572092443034,174.91475253815207
400,447.9525517256489,206.50641136291162
401,0.0,0.0
402,78.95497451784375,156.57785001971666
403,0.0,0.0007389527919128429
404,17.510867872477995,13.85022756420665
405,436.0661552680037,381.2938489726443
406,0.0,0.0
407,87.24972657810007,185.92546481742232
408,0.0,0.00024653809106975897
409,16.16169199271737,16.955405408484523
410,307.4847649216814,304.7201699545438
411,0.0,0.0
412,82.46281412261975,174.07255714395103
413,0.0,0.0
414,17.56918871086005,18.117352954364105
415,468.1494746928464,685.81794922757
416,0.0,0.0
417,80.64984546016325,214.55730255794543
418,0.0,0.00024654025091676025
419,16.71459639504483,15.447107928914958
420,64.46331754720696,49.65124590199957
421,0.0,0.0
422,79.45092924859962,168.76168729485087
423,0.0,0.0
424,18.357632995507384,18.159959573090195
425,513.005085971626,866.0423352001114
426,0.0,0.0
427,86.39224783453636,206.87197574422532
428,0.000985979621200191,0.0
429,17.113996373387348,16.15795417586996
430,346.0466693109085,401.70148998760294
431,0.0,0.0
432,82.53816763822019,172.10197621631207
433,0.00024654027708739996,0.0
434,17.261520778909652,17.66813529865278
435,290.53748101218866,1260.183841969537
436,0.0,0.0
437,79.64931432409197,251.52794252357313
438,0.0002465386144785124,0.0002465385996844538
439,16.866532206903837,17.295597409478365
440,844.8894045881318,897.4549524882549
441,0.0,0.0
442,82.01547444059248,195.0091264303974
443,0.0,0.0
444,16.63924664546131,15.33317957561306
445,161.06673559100852,180.59559869074883
446,0.0,0.0
447,88.66699134509737,185.41310345310558
448,0.0,0.0
449,15.045825674694633,15.427736075008058
450,535.2010282800118,809.2509504087321
451,0.0,0.0
452,82.18522989422735,158.35793592648147
453,0.0003285805838151079,0.0
454,17.488304216451994,18.584899360314562
455,5309.030318317231,5186.304807518823
456,61.257877865444286,74.81214124736334
457,0.0,0.0
458,89.83394287963884,130.51011310438437
459,0.0,0.0005751144714304342
460,16.678873088636884,16.53331879491461
461,4973.993000767491,5053.715528665842
462,83.61282600865385,247.32001885688456
463,0.0,0.0
464,89.41615641639238,197.63108478155934
465,0.0,0.0
466,17.058450551287144,16.91302214603841
467,5530.046709747448,5493.883461801882
468,542.8723597645699,148.9656950486372
469,0.0,0.0
470,92.38117807829443,168.86378565272466
471,0.0,0.0006571560776733524
472,18.221693352390968,17.23033690442028
473,5191.554368281194,5017.3168879243685
474,989.4802745720586,1280.724129443399
475,0.0,0.0
476,84.98591949924364,170.25461918444253
477,0.00041053940416974446,0.0
478,17.029219965548283,17.045188592960642
479,5414.602818606471,5664.9758040162
480,454.3566450402164,724.1212704037541
481,0.0,0.0
482,90.11474695163132,167.625612473117
483,0.00024653806707451985,0.0
484,18.004635886614412,17.470123611714364
485,5476.769071411246,5616.990263437009
486,371.1957031544971,144.1102200584404
487,0.0,0.0
488,90.12317837652323,171.63078878613643
489,0.00032858044752800036,0.0005751149646508728
490,16.754841290817634,16.47222714154201
491,4827.828295444796,4245.228695485097
492,530.1078050485077,567.0098524306461
493,0.0,0.0
494,89.32539821040777,193.88518970488565
495,0.0,0.0
496,16.090575453412672,16.314365485531212
497,5317.778587812212,5225.586084558328
498,416.1366101101149,213.6015149346234
499,0.0,0.0
