,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA,,,,,,,,,,,
55,0.104145824,0,0,0.056741422,20.16743217,21.40709138,0,0,0.003461238,,,,,,,,,,,
56,360.7919463,112.8754903,118.8183735,93.51509781,638.2873344,36240.04587,118.5700827,115.844176,326.4574115,,,,,,,,,,,
57,0.000650134,0,0.001232025,0.006019555,0.588703576,36.39038663,0.000821892,0,0.00085467,,,,,,,,,,,
58,3.81875895,12.39011211,16.53863631,6.282398546,49.16388248,42.71663331,15.87090467,16.75211487,3.995143408,,,,,,,,,,,
59,11316.5363,4979.867545,6005.152592,7651.803448,6319.484681,16852.80508,4463.532724,4535.590671,11480.72023,,,,,,,,,,,
60,0.083026249,0.029992822,0,0.023827116,19.6438809,21.40470032,0,0,0.004137257,,,,,,,,,,,
61,349.5708488,128.0124547,131.5024573,97.55098497,628.6263407,35946.32721,115.6219681,95.33460782,366.2749788,,,,,,,,,,,
62,0.000595034,0,0,0.005713787,0.564854508,38.31015781,0.000246535,0,0.000858911,,,,,,,,,,,
63,4.241614749,12.68481357,16.32898224,5.53314911,47.47139942,42.74071279,16.15757497,15.31875061,4.234099855,,,,,,,,,,,
64,10740.32198,5050.060552,5120.205191,6933.167975,5602.3942,16674.51768,4633.025721,4271.261124,11269.9835,,,,,,,,,,,
65,1.462250147,2.065366528,0,0.023691429,20.18338069,21.41179516,0,0,0.005382672,,,,,,,,,,,
66,370.0597386,136.2409223,99.12500126,91.54136375,632.7350294,36894.55925,102.4485918,92.70621584,354.571745,,,,,,,,,,,
67,0.001118565,0,0,0.006366129,0.592255709,36.05221815,0,0,0.00077164,,,,,,,,,,,
68,4.669101238,13.51972532,17.00374971,4.242853755,48.84507911,42.79262804,17.3281691,16.42028264,3.836024322,,,,,,,,,,,
69,10512.14969,4481.177414,5336.076342,6915.745094,5949.266011,16697.48898,4711.447835,4437.87808,11562.17599,,,,,,,,,,,
70,0.050588556,0,0,0.028241189,19.18493488,21.4060499,0,0,0.003220434,,,,,,,,,,,
71,351.9059587,134.3830587,110.3620808,89.96834636,629.7844811,36483.77678,115.8552212,103.2311989,367.0497711,,,,,,,,,,,
72,0.00065984,0,0.000246544,0.006762661,0.604595837,37.95949343,0,0,0.001002531,,,,,,,,,,,
73,3.307917785,9.980169671,16.93770735,3.725697912,48.36939254,42.78295809,16.35872482,15.82310839,3.257854683,,,,,,,,,,,
74,9806.391899,4404.093869,4674.601302,6731.300451,5497.749199,16380.56573,3831.88819,3796.664138,10430.95506,,,,,,,,,,,
75,0.999024489,0.685090909,0,0.69008027,20.17089301,21.39186858,0,0,0.003882013,,,,,,,,,,,
76,359.3362273,132.2024829,98.63502176,93.51183392,654.933628,37070.055,102.2998397,133.7557459,350.1477063,,,,,,,,,,,
77,0.000592698,0,0.000246542,0.007372893,0.587951095,39.47924873,0.000575357,0,0.000835524,,,,,,,,,,,
78,4.272108524,11.44405865,18.20516952,4.203435424,47.97659214,42.4981321,15.7379372,16.46058468,3.919625012,,,,,,,,,,,
79,10872.26446,4755.577797,5282.336084,7091.64989,5921.984432,16906.55125,4051.439819,4291.034733,10642.72091,,,,,,,,,,,
80,0.01171031,0,0,0.030828799,19.61360336,21.39561068,0,0,0.003854666,,,,,,,,,,,
81,340.7704609,152.0433077,148.4011221,101.5689781,619.6570482,35455.13217,132.1674677,70.44652031,348.78967,,,,,,,,,,,
82,0.000688624,0,0.001396762,0.006374572,0.589370604,37.90123826,0,0.000246537,0.000785193,,,,,,,,,,,
83,4.880105017,11.10614838,16.88388276,5.406729856,48.36831757,42.85102233,16.49064001,13.98167777,4.558554001,,,,,,,,,,,
84,11131.52366,4991.372559,5118.619249,6484.527518,5478.563739,16662.31883,4784.101254,4188.931321,10870.82477,,,,,,,,,,,
85,0.43098116,0,0,0.046462189,20.1616837,21.40741005,0,0,0.003568933,,,,,,,,,,,
86,359.0486363,136.4261519,151.937434,95.25282151,641.5330068,34115.29483,95.23547922,78.9687895,371.8681041,,,,,,,,,,,
87,0.000916581,0,0.000903782,0.008029019,0.592166397,37.55735996,0.000328576,0.00049307,0.000747756,,,,,,,,,,,
88,3.951800964,10.48335834,17.98061248,3.746618871,48.45669454,42.68027348,17.82299324,16.10967866,4.35093908,,,,,,,,,,,
89,10876.71131,5397.686649,5370.15447,7229.993703,6417.378835,16993.26802,4404.160448,4820.905639,11303.12663,,,,,,,,,,,
90,0.402465762,0,0,0.023422795,20.16310216,21.41467649,0,0,0.00377425,,,,,,,,,,,
91,364.2985898,147.7691457,156.6384421,95.08928943,677.7896057,38724.37106,88.53290253,122.0079246,361.4134852,,,,,,,,,,,
92,0.000928659,0.000246535,0.001231534,0.007368896,0.595812621,36.41644644,0,0,0.000775022,,,,,,,,,,,
93,3.448636095,10.47133525,16.39570869,4.256593389,49.76854756,42.63789553,17.92224796,15.36257747,3.96120495,,,,,,,,,,,
94,10282.7965,5181.970735,5734.703186,7054.423131,5978.04077,16699.50907,4611.020311,5319.097295,10533.00473,,,,,,,,,,,
95,0.461032,0.686528847,0,0.025708677,20.18102785,21.38853008,0,0.038504954,0.004687045,,,,,,,,,,,
96,365.0384916,113.118472,143.7891436,101.9506123,658.4226777,34782.56072,99.80878952,91.95049481,372.3885465,,,,,,,,,,,
97,0.000661937,0,0.000821654,0.006481193,0.579085014,35.93446574,0.000246535,0,0.000915651,,,,,,,,,,,
98,5.585158139,10.45232047,15.76887062,5.323000214,48.791434,43.01048589,16.88731678,16.60928392,4.43221383,,,,,,,,,,,
99,10290.36673,4659.249712,4932.76084,6541.438844,5559.566526,16439.70029,4343.234962,3786.513171,10647.99247,,,,,,,,,,,
100,317.2247088,238.5130023,106.2216198,129.3025527,32326.85498,4129867503,240.7217689,140.92579,102.3979725,,,,,,,,,,,
101,732.5735832,166.0366261,609.4355394,461.8686921,23163.0681,4341027371,260.0155288,166.6344236,190.0468191,,,,,,,,,,,
102,475.4285328,95.10015432,120.2251907,186.576461,32919.59682,4064769754,271.8158037,119.4016114,121.2277276,,,,,,,,,,,
103,357.1487131,60.4155808,107.5422526,158.2911083,35546.08412,4336191662,275.8356867,174.0656526,198.1301454,,,,,,,,,,,
104,486.3913706,175.9387033,163.5034339,522.5865363,24975.62077,4191269596,248.7149303,179.6081396,247.7317976,,,,,,,,,,,
105,454.32659,82.46667743,226.9497797,431.3714918,27151.23952,4193963435,193.145598,214.507299,139.1395191,,,,,,,,,,,
106,806.768602,77.97281253,108.0140819,438.0391651,30504.6586,4278961682,281.7706883,182.3338771,129.8899566,,,,,,,,,,,
107,570.2035501,68.42662756,112.3183858,373.6457759,35457.97642,4272581613,203.2138419,102.501202,178.3506084,,,,,,,,,,,
108,400.0913396,148.178011,152.6899346,488.6472763,29283.38218,4155153537,278.0207071,171.4553159,242.8230734,,,,,,,,,,,
109,264.9714756,88.44304195,75.63505785,302.391831,34529.12191,4045702918,326.1607747,263.3632668,124.5008302,,,,,,,,,,,
110,152.4182137,112.0627916,221.9308848,251.8316284,31210.10617,4244402848,321.2496829,116.4969189,166.8397698,,,,,,,,,,,
111,551.2059724,179.4791803,111.1033199,234.2093653,26342.52724,4187707053,179.0421824,115.9766993,126.2187526,,,,,,,,,,,
112,172.411389,131.4347105,154.1996139,191.0037614,29814.03342,4003076017,423.1675816,219.9193996,239.7114564,,,,,,,,,,,
113,254.9306147,205.6926315,184.2184034,86.4611133,31554.00772,4264304339,243.8467078,128.1249612,179.8147312,,,,,,,,,,,
114,284.9828563,119.5100419,156.5222612,666.210915,27976.48134,4076467775,351.7528722,302.7044401,242.1641778,,,,,,,,,,,
115,538.5351319,82.03911288,80.90944943,165.7757291,28119.13709,4211201089,203.4234406,162.594445,92.13504428,,,,,,,,,,,
116,545.1723824,130.5219554,88.77391652,373.1892128,32267.73096,4079707070,122.2200162,158.2291628,147.4939894,,,,,,,,,,,
117,662.229289,121.6211086,171.0536534,518.2557744,23217.72933,4201182507,419.878451,234.286586,235.770074,,,,,,,,,,,
118,180.3737199,49.60981332,135.5678698,238.7551489,28564.12373,4081945290,193.2240398,186.5617954,105.6771243,,,,,,,,,,,
119,549.4997392,128.4029757,119.1936941,448.8445242,33256.34409,4245981209,110.9660567,87.64283342,92.11392451,,,,,,,,,,,
120,221.7034708,93.4603625,155.4691055,270.7397617,31016.29893,4166787667,254.6342671,178.6847218,181.0481392,,,,,,,,,,,
121,298.0477216,67.9290559,96.46940496,222.3881233,31542.84548,4209974851,234.718069,178.9531305,71.94663397,,,,,,,,,,,
122,325.9532076,275.7370317,220.1277204,333.4738394,29186.48258,4205691814,198.0259295,145.5996426,149.4500544,,,,,,,,,,,
123,642.1505575,233.8560767,93.29668272,375.0226487,32025.84434,4224605677,237.5910103,97.85880801,124.3311898,,,,,,,,,,,
124,557.4092684,155.1497553,146.640012,230.9255768,34890.39104,4203385518,254.6819104,298.9857221,158.7850318,,,,,,,,,,,
125,554.7903423,65.32309837,95.15001817,118.9794127,35702.43186,4065918642,210.6167096,83.49671529,146.4025388,,,,,,,,,,,
126,636.0273282,168.683626,145.460692,255.6867022,25821.43309,4328806061,250.2655868,140.6707255,161.1909737,,,,,,,,,,,
127,637.4630456,154.3703988,109.3955196,252.3344156,28898.37073,4245487003,252.1709806,195.6766195,186.0790154,,,,,,,,,,,
128,248.1181263,59.62928481,101.5706356,214.5285455,35252.05833,4160540342,227.4532256,107.4857528,124.2725608,,,,,,,,,,,
129,967.9109918,240.3683221,147.1007813,391.4509219,23719.47366,4014341607,468.8516631,464.0746312,304.8748855,,,,,,,,,,,
130,590.1949465,106.2191112,114.1776925,379.1238764,26101.14548,4137039050,252.7979695,225.2928131,271.4584144,,,,,,,,,,,
131,605.9401757,206.7111996,131.390969,507.8467155,27101.67604,4124799226,148.5949453,163.5567115,189.802578,,,,,,,,,,,
132,407.5654184,51.75298865,86.17330654,186.6103777,35033.60468,4122826498,96.57517858,112.7129973,115.5151205,,,,,,,,,,,
133,378.4327644,59.10300895,127.4684024,95.05907506,31060.93785,4125487187,308.9235617,328.4407642,161.5358848,,,,,,,,,,,
134,261.3393289,57.66998672,85.03489268,446.4930921,38123.34653,4226751993,224.3309667,155.2846496,171.3773469,,,,,,,,,,,
135,560.6563993,103.7509138,157.5902569,246.173372,29475.58284,4009669943,290.6964468,135.3059042,127.7540974,,,,,,,,,,,
136,325.052891,58.20010991,114.4631778,349.2538485,34641.56304,4038153853,287.9762953,87.90665006,105.8403889,,,,,,,,,,,
137,683.7630758,191.1716951,149.7349945,293.425868,29255.32205,4066262398,282.2712626,197.1379947,119.3947707,,,,,,,,,,,
138,664.0163378,273.5468414,258.8763115,333.8511733,25021.32673,4002377183,566.1722257,435.0580009,321.9536965,,,,,,,,,,,
139,523.7692945,248.1915924,131.5265009,569.7425085,25581.26425,4100687014,302.9640925,172.5624817,204.3868734,,,,,,,,,,,
140,646.1365513,101.3397922,254.123051,301.5895616,25034.09126,4077650764,314.3533914,198.3605737,244.2963965,,,,,,,,,,,
141,511.0405648,97.26078528,101.141702,371.9659286,30567.35318,4180964529,444.1310488,224.3926865,344.3040685,,,,,,,,,,,
142,137.0317784,56.8189222,86.97872409,228.0050289,35967.73907,4248078839,200.5322005,151.2626318,75.12640119,,,,,,,,,,,
143,455.8828627,68.37596865,148.8511218,242.1918911,31792.65882,4011743753,276.4086159,114.2279989,367.9455505,,,,,,,,,,,
144,387.7663618,92.59217765,150.5570286,456.1993865,26938.55944,4275070122,254.8593445,314.9132501,287.3926665,,,,,,,,,,,
145,687.5726802,158.2224609,102.9873166,280.1222928,28651.9732,4059780426,247.0857316,229.1288719,250.7922708,,,,,,,,,,,
146,416.4487008,118.4379191,212.9904249,501.9366592,26294.98843,4046936020,325.2690025,175.6350743,307.9451571,,,,,,,,,,,
147,529.5095502,105.9020681,196.2200332,372.0396127,26352.25044,4217211768,367.7135124,267.7711388,279.5688922,,,,,,,,,,,
148,384.2062978,169.06969,323.8646849,312.9921618,29474.84495,4252143331,300.4858337,175.6795651,215.3905379,,,,,,,,,,,
149,399.4993731,135.8246162,67.64243124,380.3647215,30735.73709,4192640292,227.3214618,105.0155947,157.033444,,,,,,,,,,,
