,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA
19,1.2649613986695194e-05,0.0,0.0,0.0027380470173400855,16.926848411152818,118036.35991104982,0.0,0.0,1.6632337396823516e-05
20,1.1915207226829682e-05,0.0,0.0,0.00428044636701029,17.097460026279705,117176.25188789437,0.0,0.0,1.7765617945260378e-05
21,1.135464418940791e-05,0.0,0.0,0.0027947645004524025,17.99742936027337,114763.10702720562,0.0,0.0,1.7172802063688595e-05
22,1.0917385377678832e-05,0.0,0.0,0.004739765686580047,16.651950555818203,115339.21358017248,0.0,0.0,1.6638894408383496e-05
23,9.845855052665448e-06,0.0,0.0021060012109473396,0.004056399296986936,16.332903142030947,115091.66950012727,0.0,0.0,1.6929992868023857e-05
24,1.3713565253415574e-05,0.0,0.0,0.004878348228037861,15.198110663995182,119038.01193459939,0.0,0.0,1.9304424658811242e-05
25,1.2166821002169491e-05,0.0,0.0,0.003597701666524052,15.748356933435941,115704.48431691444,0.0,0.0,1.7765192735831144e-05
26,1.2302078605070647e-05,0.0,0.0,0.003520400927855786,17.082509570669416,116239.65957392796,0.0,0.0,1.650010910545185e-05
27,1.1099489672022079e-05,0.0,0.0,0.004895538116376284,16.397119061795824,114362.79406481454,0.0,0.0,1.697036899486731e-05
28,1.3094694132538619e-05,0.0,0.0,0.003969335680159712,17.110162188535586,113960.52956069665,0.0,0.0,1.9051529864894753e-05
29,1.2126040173688382e-05,0.0,0.0,0.0049507447280831,17.017305165819376,117267.43270294472,0.0,0.0,1.7628077940812012e-05
30,1.2984129349225676e-05,0.0,0.0,0.004819873212325714,17.72487913125771,116546.66962120718,0.0,0.0,1.816053794295978e-05
31,1.462416180093845e-05,0.0,0.0,0.0030353051401989244,16.404910996277977,116574.30677443136,0.0,0.0,1.544653486978043e-05
32,1.1292494005291451e-05,0.0,0.0,0.003854074835603867,16.798078748538174,115182.64821130458,0.0,0.0,1.6857906980933393e-05
33,1.1162214886413821e-05,0.0,0.0,0.0034303281527670736,16.90371514504413,116820.91011903701,0.0,0.0,1.805417382234463e-05
34,1.1782201799528748e-05,0.0,0.0,0.004520454796722751,15.876935280920248,116873.02646903272,0.0,0.0,1.6859496713266867e-05
35,1.4022234961883809e-05,0.0,0.0,0.003503757089642057,16.757036869360324,118588.1376463808,0.0,0.0,1.8716910357181882e-05
